axis,type,start,end,duration,z_mean,p_value
axis_1,ALERT,6660.0,6660.0,5.673,2.1476854379235237,0.015869376481914443
axis_1,ALERT,9900.0,9900.0,5.673,1.9047495856382362,0.02840631501654589
axis_1,ALERT,14700.0,14700.0,5.673,1.9183410837820902,0.027533888131756612
axis_1,ALERT,17940.0,17940.0,9.455,2.2797721510508695,0.011310602759847743
axis_1,ALERT,22680.0,22680.0,5.673,2.054901106695484,0.01994427877992344
axis_1,ALERT,24840.0,24840.0,5.673,2.0031312576599682,0.022581600861606654
axis_1,ALERT,25560.0,25560.0,5.673,1.9881097329559172,0.023399777586711634
axis_1,ALERT,32400.0,32400.0,5.673,2.418123588988232,0.007800388535270653
axis_2,ALERT,1020.0,1020.0,7.564,2.096308948426833,0.018027396729736633
axis_2,ALERT,13500.0,13500.0,5.673,2.3767724777711234,0.008732428514445556
axis_2,ALERT,20640.0,20640.0,5.673,2.2682281725845,0.011657651591109097
axis_2,ALERT,25680.0,25680.0,5.673,1.7630129203086817,0.0389491552808614
axis_2,ALERT,27480.0,27480.0,5.673,1.9355022702111195,0.026464345174937787
axis_2,ALERT,27720.0,27720.0,5.673,1.7940100981012215,0.036405778534400524
axis_2,ALERT,32760.0,32760.0,5.673,1.7240313271505923,0.04235109397204995
axis_2,ALERT,34920.0,34920.0,5.673,2.0660080847458784,0.019413858103144888
axis_3,ALERT,9300.0,9300.0,5.673,1.7943388851156374,0.03637954756916395
axis_3,ALERT,10500.0,10500.0,5.673,1.8753772738498036,0.030370419679430105
axis_3,ALERT,13560.0,13560.0,5.673,1.7979026818733754,0.03609621553631204
axis_3,ALERT,16620.0,16620.0,7.564,2.1186490960456754,0.01706006663654558
axis_3,ALERT,22740.0,22740.0,5.673,1.7968507327047478,0.036179659901868
axis_3,ALERT,26040.0,26040.0,5.673,2.142288393617884,0.01608514111127224
axis_4,ALERT,1380.0,1380.0,5.673,1.84091169613009,0.03281725006389169
axis_4,ALERT,10620.0,10620.0,5.673,2.2662254683873067,0.011718791026139264
axis_4,ALERT,11400.0,11400.0,5.673,1.9258882270018851,0.02705916589103685
axis_4,ALERT,14700.0,14700.0,5.673,2.0609441492209046,0.019654184343919745
axis_4,ALERT,15120.0,15120.0,5.673,1.9617541791551236,0.0248955553471093
axis_4,ALERT,18060.0,18060.0,5.673,2.0202909923855485,0.021676606296634704
axis_4,ALERT,18960.0,18960.0,5.673,2.4305864061708404,0.007537205610990139
axis_4,ALERT,32400.0,32400.0,5.673,1.7696510489424984,0.03839264458546432
axis_5,ALERT,14220.0,14220.0,5.673,2.153069456684514,0.015656610131538184
axis_5,ALERT,14220.0,14220.0,7.564,2.589555845988901,0.004804991693320049
axis_5,ALERT,14220.0,14220.0,5.673,2.67041239224085,0.003787906910225569
axis_5,ALERT,15720.0,15720.0,5.673,2.0452193223348716,0.020416620181322065
axis_5,ALERT,20580.0,20580.0,5.673,1.990763695033318,0.023253436216983392
axis_6,ALERT,5460.0,5460.0,5.673,1.8287969787984004,0.03371501387811604
axis_6,ALERT,5700.0,5700.0,5.673,1.9626203384173742,0.02484515283920352
axis_6,ALERT,6900.0,6900.0,5.673,2.0313010990505327,0.02111222998273199
axis_6,ALERT,7140.0,7140.0,5.673,2.213997292356902,0.013414482597438937
axis_6,ALERT,10620.0,10620.0,5.673,2.00336654103965,0.0225689800261486
axis_6,ALERT,10860.0,10860.0,5.673,2.1644512615146483,0.015214866642816682
axis_6,ALERT,11700.0,11700.0,5.673,1.9405336191563816,0.026157436261765588
axis_6,ALERT,16200.0,16200.0,5.673,2.2039793254486515,0.013762899049687416
axis_6,ALERT,21900.0,21900.0,5.673,2.0264145573236423,0.021361160209325325
axis_6,ALERT,22320.0,22320.0,5.673,1.90056111787144,0.028679761231026224
axis_6,ALERT,25920.0,25920.0,5.673,2.504859175973613,0.006125007811608629
axis_6,ALERT,28740.0,28740.0,5.673,2.0397033658801904,0.020689939741586283
axis_6,ALERT,30780.0,30780.0,5.673,2.1295595819060167,0.01660399546515612
axis_6,ALERT,32040.0,32040.0,7.564,2.214700117358821,0.013390327404531943
axis_6,ALERT,33120.0,33120.0,5.673,2.1227463112027314,0.016887557995209246
axis_7,ALERT,2400.0,2400.0,5.673,2.0360941085146655,0.020870453114087084
axis_7,ALERT,13020.0,13020.0,5.673,2.0094283683164016,0.022245862120170434
